gender,ethnicity_group,education_level,meal_plan,training_completed,technical_score,communication_score,management_score
male,Group D,associate degree,premium,completed,58,72,58
male,Group D,master's degree,standard,none,72,55,65
male,Group B,doctorate,premium,completed,44,55,74
male,Group B,master's degree,premium,none,86,70,64
female,Group E,high school,premium,completed,47,88,74
female,Group D,doctorate,standard,partial,71,54,65
male,Group E,high school,premium,partial,43,76,80
male,Group A,doctorate,premium,none,61,61,55
male,Group B,bachelor's degree,standard,none,91,41,90
female,Group D,master's degree,premium,completed,53,72,58
female,Group E,bachelor's degree,standard,none,53,65,47
male,Group D,high school,standard,none,71,62,98
male,Group B,associate degree,premium,none,41,85,95
male,Group A,bachelor's degree,standard,completed,57,74,58
male,Group D,master's degree,premium,none,42,84,79
female,Group D,associate degree,premium,partial,77,77,92
female,Group D,master's degree,premium,completed,98,49,46
male,Group A,high school,premium,partial,48,83,63
male,Group A,doctorate,premium,none,50,51,72
male,Group C,doctorate,standard,partial,72,80,92
female,Group C,master's degree,standard,completed,74,66,51
female,Group D,bachelor's degree,premium,completed,93,89,94
male,Group E,master's degree,premium,completed,58,47,41
male,Group E,bachelor's degree,standard,none,52,81,41
male,Group B,master's degree,standard,partial,71,84,59
female,Group C,associate degree,premium,partial,72,69,81
female,Group A,high school,standard,none,57,88,60
male,Group C,master's degree,standard,partial,65,88,65
male,Group B,high school,standard,completed,91,65,62
male,Group A,bachelor's degree,standard,partial,68,80,79
male,Group C,doctorate,standard,none,63,65,41
female,Group E,bachelor's degree,premium,none,95,99,73
female,Group C,bachelor's degree,premium,none,82,63,78
male,Group E,high school,premium,none,51,43,81
male,Group B,master's degree,standard,completed,72,40,55
female,Group B,high school,premium,completed,73,57,92
male,Group A,bachelor's degree,standard,completed,51,84,58
female,Group C,bachelor's degree,premium,partial,46,76,77
male,Group B,doctorate,premium,partial,58,57,47
male,Group A,bachelor's degree,premium,none,82,70,66
female,Group D,master's degree,standard,partial,52,84,74
female,Group C,doctorate,standard,none,57,64,58
female,Group B,associate degree,standard,partial,61,93,62
female,Group E,doctorate,standard,none,96,46,94
male,Group E,doctorate,standard,completed,56,74,71
male,Group A,associate degree,standard,none,45,51,87
female,Group E,doctorate,standard,completed,53,61,68
female,Group D,master's degree,premium,none,85,79,83
male,Group D,bachelor's degree,premium,partial,79,93,43
male,Group A,high school,premium,partial,65,54,42
female,Group D,bachelor's degree,premium,partial,69,48,99
female,Group A,doctorate,premium,none,67,79,79
male,Group C,doctorate,standard,completed,52,76,80
female,Group C,high school,premium,completed,77,94,87
male,Group B,doctorate,premium,none,82,74,60
female,Group D,bachelor's degree,premium,completed,97,44,44
male,Group C,associate degree,standard,completed,53,40,95
female,Group B,bachelor's degree,standard,completed,78,63,67
male,Group E,high school,premium,partial,69,72,47
female,Group C,master's degree,standard,completed,53,80,56
male,Group E,master's degree,standard,none,98,89,63
female,Group E,high school,premium,none,47,54,89
female,Group A,bachelor's degree,standard,none,53,89,47
female,Group B,doctorate,standard,completed,72,58,85
male,Group D,high school,premium,completed,90,58,80
male,Group D,doctorate,standard,completed,72,71,79
male,Group B,master's degree,premium,completed,99,73,81
female,Group A,bachelor's degree,standard,completed,62,76,57
male,Group A,doctorate,standard,completed,46,49,51
female,Group A,high school,premium,partial,76,64,79
female,Group C,master's degree,standard,none,59,93,41
male,Group E,bachelor's degree,standard,none,89,54,47
male,Group A,doctorate,standard,none,78,75,44
male,Group E,associate degree,standard,partial,57,74,89
male,Group A,associate degree,standard,completed,90,55,64
female,Group B,doctorate,standard,none,58,96,46
male,Group B,high school,standard,none,40,54,98
male,Group D,master's degree,premium,partial,64,87,72
female,Group D,associate degree,standard,partial,83,61,53
male,Group D,master's degree,standard,completed,84,93,50
male,Group D,high school,standard,partial,58,74,99
female,Group C,doctorate,premium,completed,89,95,71
female,Group B,doctorate,standard,partial,86,41,42
female,Group B,doctorate,standard,completed,79,86,96
female,Group A,associate degree,premium,completed,75,52,91
male,Group D,master's degree,standard,none,57,87,95
male,Group D,master's degree,premium,partial,99,77,83
female,Group A,doctorate,premium,partial,41,67,86
female,Group E,bachelor's degree,standard,completed,86,89,75
female,Group E,master's degree,premium,none,93,54,93
female,Group D,master's degree,standard,none,53,51,98
female,Group E,doctorate,premium,none,74,63,53
male,Group D,bachelor's degree,premium,none,94,85,70
male,Group D,bachelor's degree,premium,completed,53,70,46
male,Group B,high school,premium,none,76,52,45
male,Group C,high school,premium,partial,97,64,81
female,Group B,master's degree,standard,none,56,82,80
female,Group B,doctorate,standard,none,50,68,65
male,Group E,high school,standard,none,61,70,92
female,Group E,associate degree,premium,partial,59,92,46
female,Group C,bachelor's degree,standard,partial,58,74,73
female,Group A,high school,standard,partial,74,76,62
male,Group B,associate degree,premium,completed,66,74,70
male,Group E,bachelor's degree,standard,none,99,89,93
female,Group E,master's degree,premium,none,80,86,73
female,Group A,associate degree,standard,partial,60,96,98
female,Group E,high school,standard,none,69,86,96
male,Group B,high school,standard,completed,71,69,47
male,Group C,doctorate,standard,completed,50,52,72
male,Group B,doctorate,premium,completed,51,70,93
male,Group E,doctorate,premium,completed,68,75,51
male,Group C,high school,standard,none,78,69,85
male,Group D,bachelor's degree,premium,none,65,61,93
female,Group E,high school,standard,completed,78,54,85
female,Group B,master's degree,standard,completed,77,91,91
male,Group E,associate degree,premium,partial,84,61,53
female,Group A,associate degree,standard,completed,55,96,69
female,Group C,master's degree,standard,partial,77,55,88
male,Group C,master's degree,standard,none,40,47,89
female,Group C,bachelor's degree,premium,none,82,55,68
female,Group C,associate degree,standard,completed,44,82,73
male,Group A,doctorate,standard,partial,56,86,92
male,Group D,high school,premium,completed,42,56,54
male,Group D,high school,premium,partial,98,76,78
male,Group E,high school,standard,none,81,58,98
female,Group D,high school,premium,completed,62,52,80
female,Group D,doctorate,premium,partial,46,51,53
female,Group A,bachelor's degree,premium,completed,98,47,47
female,Group C,bachelor's degree,premium,none,83,77,71
female,Group C,bachelor's degree,premium,partial,72,73,48
male,Group B,master's degree,standard,partial,69,57,54
female,Group B,high school,standard,none,59,97,73
female,Group B,bachelor's degree,standard,none,90,54,70
female,Group B,high school,premium,partial,93,54,91
male,Group B,bachelor's degree,premium,none,49,53,66
female,Group E,doctorate,standard,partial,69,64,66
male,Group B,associate degree,premium,none,98,86,68
female,Group D,master's degree,standard,partial,45,79,61
male,Group B,master's degree,standard,none,90,64,83
female,Group B,high school,standard,partial,78,70,54
female,Group C,master's degree,premium,completed,63,92,61
female,Group E,doctorate,premium,none,84,50,60
male,Group C,associate degree,premium,none,95,76,72
male,Group C,bachelor's degree,premium,none,82,65,95
female,Group A,high school,standard,completed,57,91,51
male,Group A,associate degree,standard,partial,40,45,45
male,Group E,master's degree,premium,none,87,51,73
female,Group D,doctorate,standard,none,52,88,54
male,Group A,doctorate,premium,partial,93,40,51
female,Group A,associate degree,standard,partial,58,98,58
female,Group E,high school,premium,partial,69,77,74
male,Group A,associate degree,premium,partial,56,63,84
male,Group B,high school,premium,partial,60,83,89
female,Group D,associate degree,premium,partial,90,47,60
female,Group C,high school,standard,partial,61,74,95
male,Group A,associate degree,premium,partial,82,62,76
female,Group C,doctorate,premium,none,44,57,87
male,Group C,associate degree,premium,partial,48,43,69
female,Group E,high school,premium,none,55,61,75
female,Group E,bachelor's degree,premium,partial,57,77,42
female,Group D,doctorate,standard,none,62,67,93
male,Group A,master's degree,standard,none,51,82,62
male,Group D,associate degree,standard,partial,73,78,58
male,Group A,master's degree,premium,partial,78,95,49
male,Group B,doctorate,standard,completed,53,66,99
female,Group E,associate degree,premium,none,53,64,44
male,Group A,high school,standard,completed,84,55,59
female,Group D,doctorate,premium,completed,71,41,74
male,Group E,master's degree,standard,completed,85,68,86
female,Group D,doctorate,standard,partial,79,75,78
female,Group B,master's degree,standard,completed,42,70,41
male,Group B,high school,premium,completed,42,95,80
female,Group D,doctorate,standard,completed,90,63,95
female,Group E,high school,premium,partial,48,79,99
female,Group B,high school,premium,none,82,52,80
male,Group D,associate degree,premium,completed,76,49,72
male,Group A,high school,premium,none,53,53,53
male,Group D,master's degree,standard,none,70,65,58
female,Group C,bachelor's degree,standard,partial,78,44,47
female,Group C,bachelor's degree,premium,none,96,71,77
male,Group B,doctorate,premium,none,55,86,56
male,Group E,associate degree,premium,completed,51,49,41
female,Group A,master's degree,premium,none,63,96,70
female,Group E,high school,premium,partial,93,92,77
male,Group D,doctorate,standard,none,63,97,82
female,Group C,bachelor's degree,standard,none,61,80,90
female,Group E,associate degree,premium,partial,84,75,84
female,Group E,doctorate,standard,completed,84,48,96
male,Group C,associate degree,standard,completed,83,90,80
female,Group B,high school,standard,none,43,87,67
male,Group D,doctorate,premium,completed,95,95,64
female,Group D,master's degree,standard,completed,78,42,91
female,Group C,master's degree,standard,completed,41,88,91
female,Group D,high school,premium,none,44,77,80
female,Group C,bachelor's degree,standard,partial,63,98,49
male,Group C,doctorate,standard,partial,70,91,84
female,Group C,bachelor's degree,premium,none,70,52,54
male,Group A,high school,premium,partial,52,73,52
male,Group D,associate degree,premium,completed,52,43,93
female,Group C,high school,premium,none,47,41,76
female,Group C,doctorate,standard,partial,60,84,97
male,Group B,high school,standard,completed,96,98,93
male,Group D,doctorate,standard,partial,53,88,92
male,Group B,bachelor's degree,standard,none,59,74,57
female,Group A,high school,premium,none,90,67,79
